Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,3127.889893,3149.560059,3097.989990,3146.139893,3146.139893,2729100
2021-03-02,3143.469971,3163.520020,3087.120117,3094.530029,3094.530029,2595800
2021-03-03,3081.179932,3107.780029,2995.000000,3005.000000,3005.000000,3988700
2021-03-04,3012.000000,3058.129883,2945.429932,2977.570068,2977.570068,5481600
2021-03-05,3005.000000,3009.000000,2881.000000,3000.459961,3000.459961,5388600
2021-03-08,3015.000000,3064.590088,2951.310059,2951.949951,2951.949951,4185000
2021-03-09,3017.989990,3090.959961,3005.149902,3062.850098,3062.850098,4030000
2021-03-10,3098.449951,3116.459961,3030.050049,3057.639893,3057.639893,3012500
2021-03-11,3104.010010,3131.780029,3082.929932,3113.590088,3113.590088,2776400
2021-03-12,3075.000000,3098.979980,3045.500000,3089.489990,3089.489990,2421900
2021-03-15,3074.570068,3082.239990,3032.090088,3081.679932,3081.679932,2913600
2021-03-16,3104.969971,3128.909912,3075.860107,3091.860107,3091.860107,2538800
2021-03-17,3073.219971,3173.050049,3070.219971,3135.729980,3135.729980,3118600
2021-03-18,3101.000000,3116.629883,3025.000000,3027.989990,3027.989990,3649600
2021-03-19,3029.229980,3077.290039,3016.629883,3074.959961,3074.959961,4625400
2021-03-22,3067.850098,3126.580078,3060.050049,3110.870117,3110.870117,2902200
2021-03-23,3127.000000,3182.000000,3120.850098,3137.500000,3137.500000,3817300
2021-03-24,3151.040039,3160.310059,3085.149902,3087.070068,3087.070068,2959000
2021-03-25,3072.989990,3109.780029,3037.139893,3046.260010,3046.260010,3563500
2021-03-26,3044.060059,3056.659912,2996.000000,3052.030029,3052.030029,3312900
2021-03-29,3055.439941,3091.250000,3028.449951,3075.729980,3075.729980,2746000
2021-03-30,3070.010010,3073.000000,3034.000000,3055.290039,3055.290039,2337600
