Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,3484.729980,3486.649902,3372.699951,3386.489990,3386.489990,5875500
2021-05-04,3356.189941,3367.979980,3272.129883,3311.870117,3311.870117,5439400
2021-05-05,3338.860107,3354.699951,3264.360107,3270.540039,3270.540039,3711300
2021-05-06,3270.000000,3314.399902,3247.199951,3306.370117,3306.370117,4447700
2021-05-07,3319.090088,3330.889893,3289.070068,3291.610107,3291.610107,4710300
2021-05-10,3282.320068,3283.000000,3190.000000,3190.489990,3190.489990,5838600
2021-05-11,3136.280029,3238.000000,3127.370117,3223.909912,3223.909912,4619800
2021-05-12,3185.000000,3207.939941,3133.100098,3151.939941,3151.939941,4936400
2021-05-13,3185.469971,3203.840088,3133.000000,3161.469971,3161.469971,3350900
2021-05-14,3185.560059,3228.860107,3183.000000,3222.899902,3222.899902,3325000
2021-05-17,3245.929932,3292.750000,3234.590088,3270.389893,3270.389893,3723900
2021-05-18,3292.580078,3312.000000,3230.370117,3232.280029,3232.280029,2828400
2021-05-19,3195.000000,3234.750000,3184.000000,3231.800049,3231.800049,2679700
2021-05-20,3244.399902,3259.679932,3236.179932,3247.679932,3247.679932,2633200
2021-05-21,3250.000000,3256.689941,3197.010010,3203.080078,3203.080078,4104900
2021-05-24,3215.500000,3257.949951,3210.500000,3244.989990,3244.989990,2422800
2021-05-25,3266.669922,3279.820068,3213.760010,3259.050049,3259.050049,3261100
2021-05-26,3274.590088,3295.729980,3258.510010,3265.159912,3265.159912,2384000
2021-05-27,3256.000000,3260.360107,3230.040039,3230.110107,3230.110107,2561200
2021-05-28,3242.000000,3247.989990,3219.699951,3223.070068,3223.070068,2329800
