Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03,3180.510010,3184.000000,3104.000000,3111.889893,3111.889893,5074700
2020-08-04,3101.209961,3167.239990,3101.209961,3138.830078,3138.830078,4694300
2020-08-05,3143.770020,3213.590088,3127.300049,3205.030029,3205.030029,3916500
2020-08-06,3194.360107,3247.469971,3165.429932,3225.000000,3225.000000,3940600
2020-08-07,3224.010010,3240.810059,3140.669922,3167.459961,3167.459961,3936100
2020-08-10,3170.310059,3172.510010,3101.520020,3148.159912,3148.159912,3167300
2020-08-11,3113.199951,3159.219971,3073.000000,3080.669922,3080.669922,3718100
2020-08-12,3108.000000,3174.389893,3101.419922,3162.239990,3162.239990,3522100
2020-08-13,3182.989990,3217.520020,3155.000000,3161.020020,3161.020020,3149000
2020-08-14,3178.179932,3178.239990,3120.000000,3148.020020,3148.020020,2751700
2020-08-17,3173.120117,3194.969971,3154.179932,3182.409912,3182.409912,2691200
2020-08-18,3212.000000,3320.000000,3205.820068,3312.489990,3312.489990,5346000
2020-08-19,3303.010010,3315.899902,3256.000000,3260.479980,3260.479980,4185100
2020-08-20,3252.000000,3312.620117,3238.000000,3297.370117,3297.370117,3332500
2020-08-21,3295.000000,3314.399902,3275.389893,3284.719971,3284.719971,3575900
2020-08-24,3310.149902,3380.320068,3257.560059,3307.459961,3307.459961,4666300
2020-08-25,3294.989990,3357.399902,3267.000000,3346.489990,3346.489990,3992800
2020-08-26,3351.110107,3451.739990,3344.570068,3441.850098,3441.850098,6508700
2020-08-27,3450.050049,3453.000000,3378.000000,3400.000000,3400.000000,4264800
2020-08-28,3423.000000,3433.370117,3386.500000,3401.800049,3401.800049,2897000
